,Title,Company,Location,Job Description,When Posted
58,Director - Data Intelligence,Zeta Global,"El Segundo, CA",Collaborate to improve predictive model fidelity – both the speed to market and predictability of model outcomes - through the combination of first party data…,Just posted·
59,"Product Manager, Camera & Generative AI",Snapchat,"Los Angeles, CA 90291 ","Ability to collaborate and build trust with engineers, designers, data science and other cross-functional teammates.",Posted 19 days ago·
60,Senior Process Engineer (Advanced R&D),Freeform,"Los Angeles, CA",Experience with machine learning or data science.,Posted 6 days ago·
61,Sr. BI Analyst - CRM & Retention,GoodRx,"Santa Monica, CA 90401 ",Proven ability to interpret data to find insights and drive recommendations.,Posted 30+ days ago·
62,"Lead Software Engineer, AI Productivity Startup",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Who is Recruiting from Scratch:,Just posted·
63,Senior Machine Learning Engineer,Freeform,"Los Angeles, CA","Master's or PhD in computer science, applied mathematics, machine learning, data science highly preferred.",Posted 6 days ago·
64,"Senior Analytics Engineer, ASE",Apple,"Culver City, CA","7+ years of experience building self serve data products for internal partners, or in other relevant data engineering or data science capacities.",Posted 30+ days ago·
65,Marketing Science Partner - Amazon,Meta,"Los Angeles, CA 90066 ","Advanced degree in a quantitative field such as engineering, analytics, statistics, or data science related fields.",Posted 16 days ago·
66,Senior Statistical Programmer,"Pharmaceutical Research Associates, Inc","Santa Monica, CA",Proficiency in SAS programming skills in a clinical data environment.,Posted 5 days ago·
67,Sr Product Manager II,Disney,"Santa Monica, CA ","Managing large scale implementation of data sets including - data ingestion, integration and reporting tools experience.",Posted 30+ days ago·
68,"Marketing Science Lead, North America",Snapchat,"Los Angeles, CA 90291 ","Access, analyze, interpret, and communicate ads performance insights using a wide range of standard data science tooling.",Posted 30+ days ago·
69,"Data Scientist, Ecommerce - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Develop data pipelines and dashboards to enhance data infrastructure.,Posted 30+ days ago·
70,Senior Data Scientist - Personalization & Recommendations,Fox Corporation,"Los Angeles, CA",The data science world has never seen the kind of rapid change we are currently experiencing.,Posted 30+ days ago·
71,"Senior Data Scientist, Blockchain",Circle,"Remote in Los Angeles, CA","5+ years of experience in data analysis or data science, with 2+ years focusing on blockchain data.",Posted 6 days ago·
72,"Growth Marketing Analyst, Paid Social",Thrive Causemetics,"Los Angeles, CA",Exceptional analytical skills to drive data-driven decisions and problem-solving.,Posted 30+ days ago·
73,Director of Enterprise AI,UCLA Health,"Los Angeles, CA 90095","An advanced degree (Master of Science or Doctor of Philosophy) in a field associated with data science is preferred, but not required.",Posted 12 days ago·
74,Lead Data Analyst,Childrens Institute Inc,"Los Angeles, CA 90026",Ensures compliance with data governance policies and maintains data security standards while handling sensitive information.,Posted 16 days ago·
75,"Manager, Statistical Programming",Arrowhead Pharmaceuticals,"Pasadena, CA",Collaborate with data management and their programming team to ensure appropriate data collection and reporting.,Posted 18 days ago·
